                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.50565,                0.31604,                 1.0439,                0.98372,                0.98354,                0.99332,                0.95208,                0.29369,                 0.1571,                0.80386,              0.0064855,              0.0064855,              0.0064855
                     73,                0.49475,                0.31007,                 1.0345,                0.98372,                0.98385,                0.99329,                0.95281,                0.29248,                0.15675,                0.80348,               0.006436,               0.006436,               0.006436
                     74,                0.49742,                0.31178,                 1.0354,                0.98374,                0.98492,                0.99343,                0.95273,                0.29119,                0.15625,                0.80315,              0.0063865,              0.0063865,              0.0063865
                     75,                0.49898,                0.31004,                 1.0395,                0.98428,                0.98372,                0.99342,                0.95364,                0.29034,                0.15586,                 0.8029,               0.006337,               0.006337,               0.006337
                     76,                 0.4964,                0.31056,                 1.0388,                 0.9853,                0.98458,                0.99346,                0.95306,                0.28955,                0.15601,                0.80254,              0.0062875,              0.0062875,              0.0062875
                     77,                0.49177,                0.30661,                 1.0358,                0.98487,                0.98372,                0.99346,                0.95341,                0.28893,                0.15553,                0.80233,               0.006238,               0.006238,               0.006238
                     78,                0.48523,                0.30128,                  1.027,                0.98521,                0.98286,                0.99347,                0.95326,                0.28832,                0.15477,                0.80209,              0.0061885,              0.0061885,              0.0061885
                     79,                0.48801,                0.30342,                 1.0322,                0.98539,                0.98285,                0.99347,                0.95335,                 0.2877,                0.15513,                0.80179,               0.006139,               0.006139,               0.006139
                     80,                0.48953,                0.30453,                 1.0334,                0.98522,                0.98286,                0.99344,                0.95358,                0.28712,                0.15456,                0.80167,              0.0060895,              0.0060895,              0.0060895
                     81,                0.47951,                0.30045,                 1.0272,                0.98528,                0.98286,                0.99349,                0.95383,                0.28628,                0.15452,                0.80138,                0.00604,                0.00604,                0.00604
                     82,                0.48003,                0.29814,                  1.029,                0.98539,                0.98277,                 0.9935,                0.95401,                0.28544,                0.15426,                0.80109,              0.0059905,              0.0059905,              0.0059905
                     83,                0.47967,                0.29938,                 1.0304,                0.98539,                0.98279,                0.99352,                0.95433,                0.28503,                0.15401,                0.80138,               0.005941,               0.005941,               0.005941
                     84,                0.47857,                0.29838,                  1.026,                0.98539,                 0.9826,                0.99351,                0.95437,                0.28473,                0.15333,                0.80144,              0.0058915,              0.0058915,              0.0058915
                     85,                0.47598,                0.29647,                 1.0206,                0.98539,                 0.9827,                0.99351,                0.95448,                 0.2844,                0.15338,                0.80158,               0.005842,               0.005842,               0.005842
                     86,                0.47419,                0.29611,                 1.0173,                0.98539,                0.98261,                0.99344,                 0.9544,                0.28372,                0.15279,                0.80119,              0.0057925,              0.0057925,              0.0057925
                     87,                0.47357,                0.29739,                 1.0216,                0.98524,                0.98286,                0.99346,                0.95464,                0.28268,                0.15204,                0.80073,               0.005743,               0.005743,               0.005743
                     88,                0.46835,                0.29349,                 1.0219,                0.98587,                0.98286,                0.99371,                0.95554,                0.28169,                0.15206,                0.80025,              0.0056935,              0.0056935,              0.0056935
                     89,                0.46768,                 0.2877,                 1.0211,                0.98584,                0.98286,                0.99375,                0.95583,                0.28112,                0.15143,                0.80012,               0.005644,               0.005644,               0.005644
                     90,                0.46669,                0.28995,                 1.0198,                 0.9857,                0.98286,                0.99377,                0.95586,                0.27997,                0.15164,                0.79948,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.4676,                0.29255,                 1.0164,                0.98587,                0.98372,                0.99382,                0.95604,                  0.279,                0.15082,                0.79909,               0.005545,               0.005545,               0.005545
                     92,                0.46297,                0.28859,                 1.0142,                0.98553,                0.98372,                0.99382,                0.95615,                0.27812,                0.15104,                0.79876,              0.0054955,              0.0054955,              0.0054955
