                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.66477,                0.32189,                 0.9723,                 0.9773,                0.98462,                0.99051,                0.79255,                0.82109,                0.36329,                 1.2223,              0.0011288,              0.0011288,              0.0011288
                     47,                0.67123,                0.32194,                0.97375,                0.97824,                0.97994,                0.99007,                0.79392,                0.80643,                0.37951,                 1.2349,               0.001109,               0.001109,               0.001109
                     48,                0.66231,                0.31714,                 0.9702,                0.98456,                0.98072,                 0.9906,                0.79881,                0.81798,                0.37289,                 1.2565,              0.0010892,              0.0010892,              0.0010892
                     49,                0.65748,                0.31514,                 0.9681,                0.98552,                0.98333,                 0.9908,                0.79257,                 0.8155,                0.36667,                 1.2345,              0.0010694,              0.0010694,              0.0010694
                     50,                0.65315,                0.31601,                0.96521,                0.98334,                0.98368,                0.99134,                0.79256,                 0.8034,                0.38566,                 1.2134,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.6522,                 0.3122,                0.96496,                0.98881,                0.98205,                0.99039,                0.79318,                0.78681,                0.38224,                 1.2173,              0.0010298,              0.0010298,              0.0010298
                     52,                0.65639,                0.31595,                0.96761,                0.97892,                 0.9859,                 0.9903,                0.79482,                0.80106,                0.36616,                 1.2256,                0.00101,                0.00101,                0.00101
                     53,                0.64721,                0.31089,                0.96583,                0.98208,                0.98388,                0.99115,                 0.7991,                0.80042,                0.37182,                 1.2345,              0.0009902,              0.0009902,              0.0009902
                     54,                0.64216,                0.30893,                0.96123,                0.98333,                0.98325,                0.99064,                0.79822,                0.79551,                0.38145,                 1.2174,              0.0009704,              0.0009704,              0.0009704
                     55,                0.64165,                0.30816,                0.95866,                0.98572,                0.98718,                0.99085,                 0.7928,                0.77976,                0.35187,                 1.2068,              0.0009506,              0.0009506,              0.0009506
                     56,                0.63222,                0.30368,                0.95301,                0.98974,                0.98912,                0.99121,                0.79617,                0.80176,                 0.3497,                 1.2295,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.6256,                0.30086,                0.94951,                0.98838,                0.98165,                0.99111,                0.79644,                0.79058,                0.35619,                 1.2097,               0.000911,               0.000911,               0.000911
                     58,                0.62491,                0.29903,                0.95221,                0.98404,                0.98846,                0.99089,                0.79796,                 0.7864,                0.35615,                 1.2338,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.6258,                0.29549,                0.95625,                0.98969,                0.97949,                 0.9899,                0.79487,                0.78505,                0.35187,                 1.2226,              0.0008714,              0.0008714,              0.0008714
                     60,                0.61647,                0.29243,                 0.9468,                0.99094,                0.98077,                0.99089,                0.79875,                0.79142,                0.34848,                  1.216,              0.0008516,              0.0008516,              0.0008516
                     61,                0.60925,                0.29022,                0.94473,                 0.9827,                0.98333,                0.99085,                0.79153,                0.77732,                0.34436,                 1.2017,              0.0008318,              0.0008318,              0.0008318
                     62,                0.61116,                0.29208,                0.94559,                0.98298,                0.98333,                0.99071,                0.80138,                0.79304,                0.33506,                 1.2346,               0.000812,               0.000812,               0.000812
                     63,                0.60999,                 0.2883,                 0.9433,                0.98253,                0.98718,                0.99115,                0.79512,                0.77831,                0.34246,                 1.2067,              0.0007922,              0.0007922,              0.0007922
                     64,                0.60365,                 0.2877,                0.94266,                0.98342,                0.98205,                0.99081,                0.79756,                0.78654,                0.34449,                 1.2114,              0.0007724,              0.0007724,              0.0007724
                     65,                0.60194,                0.28663,                0.94051,                0.98206,                0.98333,                0.99027,                0.79056,                0.77876,                0.34906,                 1.2319,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.5962,                0.28665,                 0.9381,                0.98584,                0.98171,                0.99074,                0.79886,                0.75453,                0.32962,                 1.1866,              0.0007328,              0.0007328,              0.0007328
                     67,                0.60153,                0.28915,                0.93713,                0.98231,                0.97821,                0.98961,                0.79699,                0.76265,                0.33277,                 1.1952,               0.000713,               0.000713,               0.000713
                     68,                 0.5899,                0.28108,                0.93708,                0.98331,                0.98166,                0.99079,                0.79954,                0.75919,                0.34549,                 1.2074,              0.0006932,              0.0006932,              0.0006932
                     69,                0.58383,                0.28146,                0.93445,                0.98383,                0.98718,                0.99103,                0.80096,                 0.7509,                0.33084,                 1.1882,              0.0006734,              0.0006734,              0.0006734
                     70,                0.58241,                0.27666,                0.93003,                 0.9821,                0.98449,                0.99094,                0.79866,                0.74699,                0.32278,                 1.1798,              0.0006536,              0.0006536,              0.0006536
                     71,                0.57592,                0.27516,                0.92815,                0.98322,                 0.9859,                0.99103,                  0.802,                0.77013,                0.34257,                 1.2239,              0.0006338,              0.0006338,              0.0006338
                     72,                0.57873,                0.27528,                0.92975,                0.98938,                0.97821,                0.99027,                0.79775,                0.76758,                0.33798,                    1.2,               0.000614,               0.000614,               0.000614
                     73,                0.57157,                0.27555,                0.92939,                0.98506,                 0.9859,                0.99104,                0.79669,                0.77569,                0.34742,                 1.2052,              0.0005942,              0.0005942,              0.0005942
                     74,                0.57156,                0.27403,                0.92278,                0.98333,                0.98324,                0.99063,                0.79119,                0.78195,                0.33546,                 1.2128,              0.0005744,              0.0005744,              0.0005744
                     75,                0.56224,                0.26738,                0.92133,                0.98587,                0.98411,                0.99057,                0.79428,                0.78159,                0.34031,                 1.2366,              0.0005546,              0.0005546,              0.0005546
                     76,                0.56245,                0.26864,                0.92704,                0.97824,                0.97979,                0.98957,                0.80387,                0.76662,                0.33849,                 1.2236,              0.0005348,              0.0005348,              0.0005348
                     77,                0.55399,                0.26328,                0.92089,                0.97956,                0.98292,                 0.9889,                0.79882,                0.76272,                0.33473,                 1.2168,               0.000515,               0.000515,               0.000515
                     78,                0.55439,                0.26428,                0.91999,                0.98828,                0.97821,                0.98985,                0.79568,                0.76891,                0.35228,                 1.2076,              0.0004952,              0.0004952,              0.0004952
                     79,                0.55199,                0.26287,                0.92008,                0.98492,                0.97692,                0.99009,                0.80101,                0.76453,                0.32872,                 1.2294,              0.0004754,              0.0004754,              0.0004754
                     80,                0.55164,                0.26084,                0.92409,                0.98453,                0.97891,                 0.9904,                0.80251,                0.74971,                0.31846,                 1.2229,              0.0004556,              0.0004556,              0.0004556
                     81,                0.54629,                0.26172,                0.92005,                0.98456,                 0.9808,                0.98999,                0.79996,                0.75666,                 0.3292,                 1.2375,              0.0004358,              0.0004358,              0.0004358
                     82,                0.54114,                0.25785,                0.91901,                 0.9861,                0.97692,                0.99055,                0.80013,                0.76947,                0.32041,                 1.2533,               0.000416,               0.000416,               0.000416
                     83,                0.54274,                0.25724,                0.91766,                0.98965,                0.98036,                0.99102,                0.79487,                0.75841,                 0.3189,                 1.2501,              0.0003962,              0.0003962,              0.0003962
                     84,                0.53757,                0.25533,                0.91638,                0.98707,                0.97865,                0.99065,                 0.7953,                 0.7682,                0.32565,                 1.2448,              0.0003764,              0.0003764,              0.0003764
                     85,                0.53368,                0.25334,                0.91454,                 0.9755,                0.99231,                0.99102,                0.79607,                0.77057,                0.31188,                 1.2534,              0.0003566,              0.0003566,              0.0003566
                     86,                0.53277,                0.25279,                0.91469,                0.98212,                0.98587,                0.99101,                0.79852,                0.74665,                0.30941,                 1.2361,              0.0003368,              0.0003368,              0.0003368
                     87,                0.53083,                0.25181,                0.91208,                0.98714,                0.98416,                0.99092,                0.79409,                0.75606,                0.31591,                 1.2354,               0.000317,               0.000317,               0.000317
                     88,                0.52042,                0.24863,                0.90799,                0.97914,                0.98462,                 0.9906,                0.79611,                0.75537,                0.31827,                  1.229,              0.0002972,              0.0002972,              0.0002972
                     89,                0.52403,                0.24875,                0.91331,                 0.9784,                0.98728,                0.99081,                0.80199,                0.74616,                0.31581,                 1.2291,              0.0002774,              0.0002774,              0.0002774
                     90,                0.51633,                0.24379,                0.90759,                0.97966,                0.98789,                0.99091,                0.80204,                 0.7529,                0.31672,                 1.2351,              0.0002576,              0.0002576,              0.0002576
                     91,                0.46342,                0.20972,                0.87952,                0.98087,                0.98604,                0.99066,                  0.801,                0.75216,                0.31594,                 1.2238,              0.0002378,              0.0002378,              0.0002378
                     92,                0.45254,                0.20499,                0.87225,                0.98258,                0.98205,                0.99069,                 0.8022,                0.74593,                0.31062,                 1.2268,               0.000218,               0.000218,               0.000218
                     93,                0.44344,                0.20113,                0.86786,                0.98209,                0.98401,                0.99076,                0.80344,                0.74163,                0.31097,                 1.2294,              0.0001982,              0.0001982,              0.0001982
                     94,                0.44171,                0.19876,                 0.8689,                0.98088,                 0.9867,                 0.9908,                0.80328,                0.75083,                 0.3114,                 1.2445,              0.0001784,              0.0001784,              0.0001784
                     95,                0.43883,                0.19788,                0.86881,                 0.9871,                0.98076,                0.99112,                0.80568,                0.75273,                0.31316,                 1.2515,              0.0001586,              0.0001586,              0.0001586
                     96,                0.42862,                0.19341,                0.86509,                0.98676,                0.98333,                0.99095,                0.80645,                0.74672,                0.31273,                 1.2433,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.4337,                0.19646,                0.86704,                  0.982,                0.98333,                0.99093,                0.80508,                0.74297,                0.32345,                 1.2438,               0.000119,               0.000119,               0.000119
                     98,                0.42431,                0.19258,                0.86246,                0.98458,                0.98233,                0.99078,                0.80663,                0.73768,                0.31761,                 1.2419,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.4187,                0.18947,                0.85957,                0.98498,                0.98205,                0.99089,                0.80694,                0.74039,                0.32004,                 1.2416,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.42067,                0.18998,                0.85954,                0.98587,                0.98379,                0.99087,                0.80264,                0.74832,                0.31889,                  1.257,               5.96e-05,               5.96e-05,               5.96e-05
